"state","percent_tested","composite","english","math","reading","science","code"
"Alabama",77,20.4,20.6,19.5,20.8,20.1,"AL"
"Alaska",25,21.2,20.3,21.2,21.8,20.8,"AK"
"Arizona",15,21.9,21.3,22.1,22.3,21.3,"AZ"
"Arkansas",74,20.6,20.7,20.1,21,20.3,"AR"
"California",17,22.2,21.8,22.8,22.4,21.3,"CA"
"Colorado",100,20.5,19.8,20.3,20.8,20.4,"CO"
"Connecticut",19,23.3,23.2,23.3,23.6,22.3,"CT"
"Delaware",11,22.6,22.2,22.5,23.1,22,"DE"
"District of Columbia",30,19.1,18.6,19.2,19.6,18.6,"DC"
"Florida",52,19.8,19,20,20.3,19.3,"FL"
"Georgia",38,20.6,20.1,20.6,20.9,20.3,"GA"
"Hawaii",23,21.6,20.8,22.3,21.6,21.2,"HI"
"Idaho",58,21.5,20.7,21.4,22.2,21.3,"ID"
"Illinois",98,20.7,20.4,20.7,20.6,20.5,"IL"
"Indiana",22,22,21.4,22.2,22.5,21.5,"IN"
"Iowa",60,22.4,21.9,22,22.9,22.3,"IA"
"Kansas",74,22,21.5,21.8,22.6,21.8,"KS"
"Kentucky",72,20.9,20.5,20.2,21.5,20.7,"KY"
"Louisiana",88,20.3,20.5,19.7,20.3,20,"LA"
"Maine",9,22.7,22.7,22.5,23.2,22,"ME"
"Maryland",16,22,21.6,22,22.3,21.4,"MD"
"Massachusetts",17,23.6,23.5,23.9,24,22.5,"MA"
"Michigan",100,19.6,18.7,19.5,19.8,19.9,"MI"
"Minnesota",69,22.6,21.9,22.6,23,22.5,"MN"
"Mississippi",92,18.9,19.3,18.2,19.1,18.7,"MS"
"Missouri",69,21.6,21.4,21,22,21.4,"MO"
"Montana",56,22,21.3,21.8,22.7,21.8,"MT"
"Nebraska",72,22.1,21.8,21.8,22.5,21.9,"NE"
"Nevada",30,21.3,20.7,21.4,21.7,20.9,"NV"
"New Hampshire",15,23.1,23,23,23.7,22.2,"NH"
"New Jersey",13,22.7,22.6,23.2,22.9,21.7,"NJ"
"New Mexico",63,20.3,19.6,19.8,21,20.2,"NM"
"New York",23,23.1,22.3,23.5,23.3,22.8,"NY"
"North Carolina",14,21.3,20.5,21.8,21.7,20.8,"NC"
"North Dakota",81,21.6,20.7,21.6,21.8,21.5,"ND"
"Ohio",65,21.7,21.1,21.5,22.1,21.7,"OH"
"Oklahoma",70,20.7,20.5,19.8,21.4,20.4,"OK"
"Oregon",30,21.2,20.3,21.4,21.8,20.9,"OR"
"Pennsylvania",13,22.2,21.8,22.3,22.5,21.6,"PA"
"Rhode Island",10,21.9,21.7,21.9,22.3,21,"RI"
"South Carolina",44,19.9,19.2,20.1,20,19.7,"SC"
"South Dakota",77,22,21.2,21.9,22.3,22,"SD"
"Tennessee",88,20.7,20.8,19.9,21.1,20.3,"TN"
"Texas",29,20.7,19.8,21.2,20.9,20.5,"TX"
"Utah",68,21.8,21.4,21.1,22.5,21.6,"UT"
"Vermont",26,22.7,22.4,22.4,23.3,22.1,"VT"
"Virginia",19,21.8,21.5,21.8,22.2,21.3,"VA"
"Washington",17,23.1,22.7,23.2,23.7,22.4,"WA"
"West Virginia",64,20.7,20.8,19.6,21.4,20.5,"WV"
"Wisconsin",67,22.3,21.7,22.3,22.6,22.3,"WI"
"Wyoming",80,21.1,20.1,20.8,21.8,21,"WY"
