"state","rank","percent_tested","critical_reading","math","writing","combined","code"
"Alabama",20,8,546,541,536,1623,"AL"
"Alaska",34,52,515,511,487,1513,"AK"
"Arizona",29,28,517,523,499,1539,"AZ"
"Arkansas",15,5,568,570,554,1692,"AR"
"California",33,53,499,515,499,1513,"CA"
"Colorado",13,19,570,573,556,1699,"CO"
"Connecticut",31,87,509,513,513,1535,"CT"
"Delaware",44,74,489,490,476,1455,"DE"
"District of Columbia",51,79,469,457,459,1385,"DC"
"Florida",46,64,487,489,471,1447,"FL"
"Georgia",48,80,485,487,473,1445,"GA"
"Hawaii",45,64,479,500,469,1448,"HI"
"Idaho",23,20,542,539,517,1598,"ID"
"Illinois",1,5,599,617,591,1807,"IL"
"Indiana",41,68,493,501,476,1470,"IN"
"Iowa",3,3,596,606,575,1777,"IA"
"Kansas",8,6,590,595,567,1752,"KS"
"Kentucky",11,6,576,572,563,1711,"KY"
"Louisiana",19,8,555,550,546,1651,"LA"
"Maine",50,93,469,469,453,1391,"ME"
"Maryland",37,74,499,502,491,1492,"MD"
"Massachusetts",27,89,513,527,509,1549,"MA"
"Michigan",6,5,583,604,574,1761,"MI"
"Minnesota",2,7,593,608,577,1778,"MN"
"Mississippi",18,4,564,543,553,1660,"MS"
"Missouri",5,5,592,593,579,1764,"MO"
"Montana",24,26,539,537,516,1592,"MT"
"Nebraska",9,5,585,591,569,1745,"NE"
"Nevada",43,47,494,496,470,1460,"NV"
"New Hampshire",26,77,523,525,511,1559,"NH"
"New Jersey",36,78,495,516,497,1508,"NJ"
"New Mexico",21,12,548,541,529,1618,"NM"
"New York",42,89,485,499,476,1460,"NY"
"North Carolina",39,67,493,508,474,1475,"NC"
"North Dakota",7,3,586,612,561,1759,"ND"
"Ohio",22,21,539,545,522,1606,"OH"
"Oklahoma",16,6,571,565,547,1683,"OK"
"Oregon",28,56,520,521,499,1540,"OR"
"Pennsylvania",40,73,493,501,479,1473,"PA"
"Rhode Island",38,68,495,493,489,1477,"RI"
"South Carolina",49,70,482,490,464,1436,"SC"
"South Dakota",10,4,584,591,562,1737,"SD"
"Tennessee",12,10,575,568,567,1710,"TN"
"Texas",47,58,479,502,465,1446,"TX"
"Utah",17,6,563,559,545,1667,"UT"
"Vermont",30,67,515,518,505,1538,"VT"
"Virginia",32,71,512,509,495,1516,"VA"
"Washington",25,57,523,529,508,1560,"WA"
"West Virginia",35,17,514,501,497,1512,"WV"
"Wisconsin",4,5,590,602,575,1767,"WI"
"Wyoming",14,5,572,569,551,1692,"WY"
